English	Chinese	Yang 2015 #	Proto-Ngwi	Bradley 1979 #	*Proto-Ni (Lama 2012)	*Proto-Lolo-Burmese (Matisoff)	*Burmese-Ngwi (Li Yongsui 2010)	PTB (Matisoff 2002)	ProtoLalo (Yang 2015)	PN Tone	PN Initial order	PN Initial type	Hani-Longwei	Hani-Qiepu	Hani-Luchun 	Haoni	Lahu Na	Ghomozo	Kuansi 	Lavu	Talu	Xuzhang	W-Shanglizhuo	Yangliu	C-Leba	CE-Yong'an	E-Diaocao	E-Houshan	E-Taoshu	Eka	S-Mangdi	C-Qingsheng	SE- Gaoping	C-Chajiang	C-Qingyun	C-Longjie	W- Yilu	W-Shuizhuping	W-Dutian	C-Wachang	Lisu	Luquan Lisu	Tengchong Lisu	Weixi Lisu	Yongsheng Lisu	C-Lolo	E-Lolo	Jinggu Limi	Limi	Lipo	Maang	Mondzi	Mongi	Alo	Kopo (Gepo)	Naso	Nasu	Luowu Nisu	Nipu	Nersu	Nise	Laowu Nisu	Noso	Narsu	Neshu	Nesu	Lope (Awu) (Chen 2010)	Lope (Awu) (YYFC 1983)	N. Nisu	S. Nisu	Lidim	Nuosu (Huang & Dai 1992)	Nosu (Xide)	Sodi	Senza	Yino	Axi	Azhe	Sani	Azha [aza] Pelkey 2011	Sanni (Sanie)	Phola [ypg]	Phuza [ypz]	Southern Muji [ymc]	Hlepho Phowa [yhl]	Kazhuo	Lawu-Xinping Shuitang Jiuha	Toloza
scatter; sprinkle (e.g., seed)	撒 (撒种子)	553		731.06		swan¹/²	*sanhB		ʃɨ²				se⁴²	sɛ⁵³	se³¹	sɛ³¹	qhᴀ³³	sa³³		ʂi²¹	ʂi²¹	ʂʅ²¹, pɛi³³	ʂʅ²¹	sɿ²¹	pɛ²¹	sɿ²¹, pi²¹	pei²¹	sɿ²¹	pi²¹	sɿ²¹	sɿ²¹	sɿ²¹	sɿ⁵⁵	sɿ²¹	ʂʅ²¹,pi²¹	ʂʅ²¹	ʂʅ²¹	ʂʅ²¹	ʂʅ²¹	ʂʅ²¹,pi²¹	ʃɿ⁵⁵							ʂʅ⁵⁵	ʂʅ⁵⁵				se⁴⁴	ʂi⁵⁵	si⁵⁵	xi⁵⁵	ʂi⁵⁵		si⁵⁵	ʂi⁵⁵	ʂi⁵⁵	ɕe¹³	si⁵⁵	ɕe³³	ɕɪ³³	ɕe³³	si³³		lu̠³³		l̩²¹	tɕhi²¹/l̩²¹		l̩²¹	l̩²¹	l̩⁴²			si⁵⁵		ʂo̱³³					ji³³sɿ⁵⁵ɕo²⁴	ɕi³³	ʂi³³
throw away	丢掉	554						causative plus stone	ʔlo̠H					pa³⁴	bja⁵⁵			sa³³pʰi²¹		bɯ³³	bɯ³³	dza³³mɛi²⁴	du²¹	lu⁵⁵ei³³	ɣɨ²¹	ɦə²¹ho̠u⁵³ji³³	lu³³n̩²¹tɕi³³	ɨ²¹xɔ⁵⁵ji³³	lu³³mi²⁴	lu̠³³pʰi²⁴	u⁵⁵tsa⁵⁵pɛ³³	lo̠³³xɑ⁵⁵tɕi⁵⁵		di²¹lo̠³³	ʔlo̠³³	ʔlo̠³³a⁵⁵tɕi⁵⁵	lo⁴⁴	lu⁴⁴hẽ³³	lu⁴⁴mi³³	ɨ²¹xɛ⁵⁵								ʔo⁵⁵pʰe²¹pɪ⁵⁵	u⁵⁵pʰi²¹				ndɔ³³	ntʰɒ⁵⁵	lu̱³³	pi̱⁵⁵	ndʰɔ⁵⁵	pʰi̠⁵⁵	ngɯ²¹	pɪ¹³xo²¹	lu̱³³		si⁵⁵nda⁵⁵	lu̱³³	lu̱³³	lu̱³³	lu̱³³				tʂi²¹			tʂi²¹	tʂi²¹	tʂi⁴²			lo⁴⁴		lo̱⁵¹						ɣə³³	tsʰo̱³³tɕʰi³³
pitch (throw from side way)	摔 (石头)	555		731.04					ʔlo̠H				tse³¹	tsɛ³⁴	dze³³, the⁵⁵	lu³³kɔ³³	bᴀ³¹	vv̩˞²¹				dza³³tʰiɛ³²	lu³³	lu⁵⁵ei³³	du²¹	ti²¹	dzə³³	ti²¹	ti²¹	lu̠³³kuɛʲ²⁴	lu⁵⁵	ɨ²¹	lo³³	ɨ²¹, di²¹	ʔlo̠³³	ʔlo̠³³	du²¹	lu⁴⁴tɛ²¹	lu⁴⁴	du²¹	lo⁴⁴							tɐ²¹na⁵⁵	dzɛ³³													ɕɛ¹³										tshi³³														to³¹lɤ³³	la²¹ɣə³³	
toss (overhand)	投	556		731.02					ʔlo̠H					tsɛ³⁴				tɕɛ̠⁴²				lu³³	du²¹	lu⁵⁵ei³³	lo̠̠³³	ʔo̠³³	lɔ³³	ɨ²¹	lu³³	lu̠³³kɛ³³	pɛ³³kɛ⁵⁵	ti²¹	ti⁵⁵	lo̠̠³³	ʔlo̠³³	du²¹	lo⁴⁴	ɣɨ²¹	lu⁴⁴	lo̠³³								ɣɯ⁵⁵	lo³³																															---		dɔ³³	---	[kɑ̠¹³]	ⁿdɮa²¹			
stretch; stretch out	伸 (伸手)	557	*s-ŋakL			ʔ-dʒan³ OR ʔ-tʃan³	*tʃheA/* l̥amhB/*dʒiʔC		dʒe³				tʃo⁴²	tsʰo⁵³	tsho³¹	si³¹tv̠³³	tshe³³	tsʰu²¹ti²⁴	tsʰa²¹	tʂʰi⁵⁵	dʐi⁵⁵						dʑi³³	dʑia³³		dʑɛ³³			dʑi³³	dʑi³³	dʑi³³	dʑi³³			dʑi³³	dʑi³³	tʃhɯ⁴⁴							tʂʰə³³	tʂʰə³³				tsi¹³	dʐe²¹	dʑɪ³³	tɕʰe²¹	dʐe²¹	tʂʰɛ̠²	tsʰi²¹	tʂʰi²¹	dʑɪ²¹		dʑɪ²¹	tɕe²¹	dʐɚ²¹	dʑe²¹	tɕe²¹				dʐɯ²¹	dʐɯ²¹		dʐɯ²¹	dʐɯ²¹	dʐɯ⁴²			dʑɪ³³		tʂi³³					tshɛ³³		dʐi²¹
pound	舂/捣碎	558	*ʔ-di² & *ʔ-toŋ²	626	*ti², *thɔŋ²		*thuŋhB		te²	2	14	*ʔ-b	thã⁴²	tʰɔ⁵³		thu³¹		tɛ²¹		ti̱²¹	ti̱²¹	tɛi²¹	te²¹	dzɿ²¹	tɛ²¹	ti²¹	tei²¹	ti²¹	ti²¹	tɛ²¹	tɛ²¹	ti²¹	ti⁵⁵	ti²¹	ti²¹	ti²¹	tɛ²¹	tɛ²¹	te²¹	tɛ²¹						te⁵⁵	tiɛ²¹	te⁵⁵	te⁵⁵ / tə⁵⁵	tiɛ⁵²	thoŋ³⁵	ton⁵³	ti⁵³	ti̱⁵⁵	ti̱²¹	ti̱⁵⁵	ti̱⁵⁵	te⁵⁵	te¹³	ti¹³	ti̱²¹	te¹³	ti²	tɪ̱²¹	tɪ̱²¹	te̱²¹	ti̱⁵⁵	tei⁵⁵	ti̠ɛ̠²¹		ti²¹	ti²¹	ti²¹	ti²¹	ti²¹	ti⁴²	ti⁵⁵	tɪ⁵⁵	tɪ⁵⁵	ti̠⁴⁵mʉ³³	ti̱⁵⁵	tɛ³³nu³¹	ti³³	tjɛ²¹	ti³³	ti⁵⁵	ti⁵⁵	ti̱²¹
lift (over head)	举起	559	*kyi²	693.1					tʃʰɛ²	2	9	*̈p	pa³¹tʃhɿ⁵⁵	pa²²tsʰɛ³³	ba̱³¹tshe³³	si³¹ta³³		tɕu²¹tɔ⁵⁵	ta⁵⁵ vɨ̪⁵⁵			tɕy³³tɛ˞⁵⁵li³³	tʂʰɛ˞²¹te³³	dzai²¹ti⁵⁵li³³	tɕʰɛ²¹tv̩⁵⁵	py²¹tə⁵⁵	pi²¹tɤ̪⁵⁵	pɨ²¹tɤ̪⁵⁵	pʉ²¹tɤ̪⁵⁵	tɕʰɛ²¹di³³	tɕʰɛ²¹tu⁵⁵	vv̩⁵⁵tv̩⁵⁵	tɕi³³tui⁴⁴	dʑi³³tu⁵⁵		py²¹tv̩⁵⁵tɕi³³	tɕy²¹tu⁵⁵	py²¹to³³	py²¹tɨ²⁴									kɔ³³ʈʊ³³lʊ³³	tʂʰæ²¹tu³³									va⁵⁵to³³le³³											tʂhu²¹			dʐɯ²¹								ʦʰʌ²²tɔ³³		tʂʰɨ̠²³tɑ³³	ʦʰɛ³³	ʦʰə³³	ʦʰɯ³³ta¹³	tsɿ³⁵	ta²¹	
fold	折	560	*tupH	695		pyak								tɔ³⁴				tɕa̠⁴²				tiɛ˞²⁴	tʂə²⁴	dzɨ³³		tsɛ⁵⁵	tɕa⁵⁵	tʂɛ²⁴	ty³³	da³³	tɨ⁵⁵	tsə²⁴	tɕʰi²¹	vv̩⁵⁵ku³³	tɕɛ⁵⁵	tʂə²⁴	tsʰɿ̠²¹	ɕy³³ka³³										kɔ³³te³³	di³³									ŋɛ˞⁵⁵				tə³³							////											tɨ⁴⁴		ɬu³³	tɬʰɛ³³	ɯ³³	tɔ³³(-ʨʰi²¹)		tsə²¹	
squeeze	挤压/榨	561	*s-nitL & *C-ɲapL & *tsitH	738.1					ni̠ᶫ				te⁴²			ȵi̠³¹tv̠³³		tsuai³³	ʔi̠²¹				ɲi⁵³	naŋ⁵³		ɲiɛ²¹	ni⁴²	ni̠²¹	ni̠²¹	nɛ̠²¹na̠³³	ɲɛ³³					ɲɛ̠³³		ti⁴⁴										ɲi̠⁵⁵ja²¹(借汉方言 )	ni⁵⁵dʐa²¹									dɔ³³				sɛ¹³										tshi³³															ti³³tɕin²¹	
pinch	捏	562	*tsitH & *s-nitL & *C-ɲapL	738.3					tsʰi̠ᶫ				ȵi⁴²	n̩⁵³				ɲu³³	ɲo³³	tsʰu̱³³	tsʰu̱³³	kɤ̪˞²¹						tɕi²¹		tsu³³tɕʰi²¹	tsu³³tɕʰi²¹						tsʰɿ⁵³	tsʰɿ⁴⁵³	kv̩²¹	tsʰɿ̠²¹								ɲi̠⁵⁵	ti³³				ni⁵³	tsʰɯ²¹	nɪ̱³³	tsʰɯ̱²¹	tsʰɯ²¹		ne¹³	tsʰɤ³³	ȵa̱³³		ni⁵⁴	tɯ³³	na³³	tɯ³³	ȵa³³		nᴀ̠³³		tsʰi̱³³			tsʰi̱³³	tsʰi̱³³	tsʰi̱̯²²			tsʰi⁴⁴, ȵe³³	ɕy̠⁴⁵	n̩⁵⁵	ȵɛ̠³¹tɛ³³	ʦʰi⁵⁵	ʨʰi²¹	ʦʰɿ³³		tsʰɿ³³	ȵi⁵⁵
massage	按摩	563	*(g)yitL	748					ʒi̠ᶫ					n̩⁵³	ȵe̱³¹							tsu̠³³gɨ²¹	tsu³³	i⁵³	niɛ̠²¹	tso̠³³wu²¹	tsu³³		ni̠²¹tsu³³	nɛ̠³¹pʰuɛ²⁴	tsa̠⁵⁵	tɕɛ̠³³wu²¹		zɿ̠²¹tsu⁵⁵	tso̠³³	tso̠³³wu²¹	tso⁴⁴	zɿ⁴⁵³											ti³³gɨ²¹									zɿ̠⁵⁵																						nɨ³³kɨ²²		mɔ³¹lɯ³³	nə⁵⁵	ȵi²¹	ȵ̩²¹			
bend	使弯曲	564	*səkokL	774				gu:l, koy	go̠ᶫ				pi³¹ɣu⁵⁵	pi²¹wu⁴⁴		ɕi̠³¹v̠³¹		pɯ̃⁵⁵ko̠⁴²				wv̩²⁴waŋ³³ʝi⁵³	tsʰɿ²¹wu⁵³	tsʰɿ²¹	ɣʷo̠̠²¹	bɑ³³ʔo̠²¹	wu²⁴gu⁴²	bɑ³³ʔo̠²¹	ʝy²¹gy²¹hɔ⁵⁵	nɛ̠³³gu̠²¹	tsa⁵⁵gu²¹	vv̩⁵⁵wo̠²¹	go²¹ta⁴⁴to³³	vv̩⁵⁵wo̠̠²¹	vv̩⁵⁵wo̠²¹	vv̩⁵⁵wo̠²¹	vv̩²⁴ɣo⁴⁵³	ni⁴⁴woʔ⁴⁵³	gu⁴⁵mi³³tu³³	wo̠²¹to̠³³								kɔ³³kʰu³³ H3 F6 IK	go²⁴kʰu³³													ŋu¹³kʰuɛ³³										khu⁵⁵								li⁴⁴kʌ³³		qɔ³³lɔ̠²³pi³³	wɯ³³	ɯ⁵²	ʔŋɔ³³	pɤ³³ko⁵³	ku⁵⁵	
pull a	拉	565	*m-gaŋ¹ & *cway²						xi³	1	2	*mb	ɣɤ³¹			ɣɯ³³		tsɿ³³	ɡa⁵⁵	gɑ⁵⁵	gɑ⁵⁵	ɕi³³	ɕi³³		ɕi³³	sɿ³³	tɕɛ³³							ɕi³³	tɕi³³	sɿ³³	ɕi³³		ɕi³³	sɿ³³								kɔ³³					ngɔ¹³	nkʰɒ²¹	gu³³	ngʰɔ²¹	ngʰɔ²¹	sɛ˞²¹	ngɔ²¹	ngo²¹	go²¹	tɕɛ³³	ngɔ²¹	ga²¹	ga²¹	ga²¹	go²¹				go³³	ŋɡo³³		ngo³³	ngo³³	ngo²²			qo³³		gu³³					sɤ³³		go³³
push	推	566			*di², *mbu²	ȼ-cakL	*dhunhB		dy²				te⁴²	tɛ⁵³	de³¹	tɛ³¹	bə⁵⁴	tɯ²¹	dɯ²¹	dɯ²¹	dy²¹	pa³³	dy²¹		dy²¹	dy²¹	ɕɔ²⁴	dɨ²¹	dy²¹	də²¹	də²¹	dy²¹	dy²¹	dy²¹	tʂə̠³³	dy²¹	dy²¹	dy²¹	ba⁵⁵	dy²¹	di³¹							tɯ²¹	de²¹ / də²¹		daŋ³⁵	ta²¹	ta²¹	mpʰu³³	pu³³	mbʰu³³	mbʰu³³	mpʰɯ³³	di⁵⁵	dɤ⁵⁵	pu³³	de¹³	da⁵⁵	ti⁵⁵	ti⁵⁵	ti⁵⁵	de²¹i²¹	dei̠²¹	ti⁵⁵	ti⁵⁵	di²¹	di²¹	di²¹	di²¹	di²¹	di⁴²	pu̱³³	pu³³	tsʰɤ³³, pu³³	pʉ⁴⁴	tsʰu³³	ti⁵⁵	ʦʰɯ⁵⁵	ʦʰə³³	pɯ⁵⁵	tsa⁵³	ti³³	dɤ²¹
kick	踢	567	*tekH	717			*thepD/*pikD		tʃʰɛ̠H	H	9	*p	phi⁴²	tʰi⁵³/pʰi⁵³	te̠³³	thɛ⁵⁵	the⁵⁴	tɕʰɛ̠³³	tsʰua³³	tʰi³³a³³	tʰu̪³³ɑ³³	tsʰɛ˞³³	tsʰɛ˞⁵⁵	tʂʰɛ˞⁵³	piɛ̠³³	tsʰɛ³³	tɕʰɛ³³	tʰɛ˞³³	tsʰɛ³³	tsʰa̠³³	pɛ⁵⁵	tsʰa̠³³	tʂʰʅ³³	tsʰa³³	tʂʰa³³	tʂʰa̠³³	tʂʰã⁴⁴	tsʰɛ⁴⁴	tsʰɛ⁵⁵	tʂʰa³³	pe³⁵					tʰia̠³³	tʰɛ̠³³	pɪ̠⁵⁵	pe³³	t'a³³			ndu⁴⁴	nʈʰu̱²¹	du̱³³	ndʰu̱²¹	nɖʰo̱²¹	ntʰu̠²	nɖɔ³³	nɖe³³	tɬu̱³³	tɕʰɛ⁵⁵	ndu⁵⁴	du̱³³	du̱³³	du̱³³	du̱³³		du̠³³	du̠³³	pɪ̱³³	pe³³		ndʑo̱³³	pɪ̱³³	pɪ̱²²			dlo⁴⁴	tɬɯ³³	do̱⁵¹	ⁿtɔ̠²³	dɮɯ¹³	dɮɯ³³	ⁿdɮo²¹	tɕhɛ⁵⁵	ti⁵⁵	pi⁵⁵
kneel	跪	568					*thokD		gɨ²tɛ¹				thã⁴²	tʰɔ⁵³	phɔ³¹tsɿ̠³¹tu̠³³	phɯ³¹kɯ³³kɯ³³	khɯ³³tsɿ³⁵tɛ³³	gv̩˞²¹	dzɿ²¹	dʐi²¹	dʐi²¹	gɨŋ²¹	gɨ²¹	go²¹	gɨ²¹tɛ⁵⁵	gɨ²¹ti⁵⁵	dʑi²¹	gɨ²¹ti⁵⁵	gɯ²¹		ta⁵⁵ku²¹	gɨ²¹tɛ⁵⁵	gɨ²¹tɛ⁴⁴	gɨ²¹	ni̤²¹gɨ̤²¹	gɨ²¹tɛ⁵⁵	gɨ²¹tɛ⁴⁴	gɛ²¹tɛ²⁴	gɨ²¹	gɨ²¹tɛ⁵⁵	ɡɯ³¹							kɯ²¹tɕi⁵⁵tɐ³³	ba²⁴kʰu³³dʑi²¹				ko⁴⁴	kɯ³³	kɯ²¹	kɯ³³	kɯ³³	kɯ³³	kɯ³³	tɕy³³	kɯ³³	dʑi²¹	kɯ³³	kɯ³³	kɯ³³	kɯ³³	kɯ³³		kɯ³³		ba²¹tsi̱³³m̩³³ku³³ti³³	bɑ²¹tsɿ̠³³mu³⁴ku³³ti³³		ba²¹tsi̱³³m̩³³ku³³m̩³³ȵi³³	ba²¹tsi̱³³m̩³³ku³³ti³³	ba⁴²tsi̱²²m̩²²ku²²ti²²			kɯ⁵⁵	ʨy̠⁴⁵	ku²¹	tʰɨ̠³¹	kwɛi¹³	kɯ³³	kɯ⁵⁵	kv⁵⁵	ti²¹	tsi³³
sit	坐	569	*(C)n/ʔ-mi¹	685	*sni¹		*dzhoŋA/*ŋhiA		ni¹	1	5	*m	tɕo³⁵	tɕo³⁴	dʑo⁵⁵	tʃv̩⁵⁵	mə³³	ɕa⁵⁵	ɲi⁵⁵	ȵi⁵⁵	ȵi⁵⁵	ɲi²⁴	ɲi²⁴	tsʰo⁵³			ni²⁴	ni²⁴di⁵⁵							ni⁵⁵				ni²⁴		ɲi⁴⁴tɑ⁵⁵							ʔɔ⁵⁵tɔ⁵⁵	ni²⁴to²¹		dien³³	tie¹³	ȵe¹³	ȵi²¹	ni³³	ȵi²¹	ȵi²¹	ȵi¹¹	ȵi²¹	ȵi²¹	n̩²¹	ə¹³	ȵi²¹	ȵi²¹	ȵi²¹	ȵi²¹	n̩²¹	nɛ̱²¹³	ni²¹	ʔu̠³³	ȵi³³	ȵi³³	ȵi³³	ȵi³³	ȵi³³	ȵi²²	ni³³	ni²²	n̩³³	ni̠⁴⁵	ni³³	u̠³¹	ȵi³¹	ȵi³³	ȵa⁵⁵	kɛ³³ŋ³³	wo⁵⁵	dzo⁵⁵
carry, on back	背 (背小孩)	570	*bo² & *bakL	661	*ba¹, *pi²	bəw²	*bohB		bo²	2	1	*b	ɤ⁴²	ɤ⁵³	ɣ³¹	tɛ⁵⁵	pu⁵³	ma²⁴	mɯ⁵⁵			dzɿ²¹	dzɿ²¹	bi²¹	dʑi²¹	vi²¹	bə²¹	bɨ²¹	dzɿ²¹	bɨ²¹	bi²¹	vi²¹	bɨ²¹	vi̤²¹, mɑ⁵⁵	vi̤²¹,mɛ⁵⁵	dʑi²¹	dzɿ²¹	dzɿ²¹	dzɿ²¹	vi²¹	mɛ³³					bɯ²¹	be²¹	pɯ̠²¹	bɨ²¹	bш̱²¹	ba⁵⁵	bɔ⁵³						bɔ²¹				bɯ¹³						bɯ̱²¹	bu²¹			pɿ²¹	ba³³, pɿ²¹				bu²¹	bu²¹								kɛ⁴⁴pv³¹	pe⁵⁵	
carry,  in arms	抱 (抱小孩)	571			*taʔH, *gɯ¹, *khji²		*takD/*bunʔC		te̠H				tɕhi⁴²	tɕʰi⁵³	tɕhi³¹	tʃhɿ³¹	tᴀ⁵⁴	ta̠³³		ta̱³³	ta̱³³	tɛi³³	te³³	ti⁵³	tiɛ̠³³	tiɛ³³	tei³³	ti³³	ti³³	ti̠³³	tɛ̠⁵⁵	tiɛ̠³³	ti³³	ti̠³³	tɛ̠³³	tæ̠³³	tɛ⁴⁴	tɛ⁴⁴	te⁴⁴	tiɛ̠³³	tɛ³⁵					te̠³³	ta̠³³	te̠⁵⁵	te³³	tiɛ̱³³	ʦhɯi³⁵	to⁵³	tɔ⁴⁴	ta̱²¹	tɪ̱³³	ta̱²¹	ta̱²¹	tɑ̠²	ta³³	ta³³	ta̱³³	ta⁵⁵	ta⁵⁴	ta̱³³	tɪ̱³³	te̱³³	ta̱³³	ta³³	ti̠ɛ̠³³	te̠³³	to̱³³	tɔ³³	tɔ³³	to̱³³	to̱³³	to̱²²	te̱³³	tɪ̠³³	te⁴⁴		te̱⁵¹					ta³⁵tsɤ³¹	ta⁵⁵	te̱³³
carry, from hand	提	572							tʃʰɛ²				tɕhe⁴²	pʰɛ⁵³	ba̱⁵³			tʰi⁵⁵	di⁵⁵	tʰi²¹	tʰi²¹	tʂʰɛ˞²¹	vv̩²⁴	tʰi²¹	tʂʰɛ²¹	tʰi²¹	tʰi⁵⁵	tʰi⁵⁵	tsʰɛ²¹	tɕʰɛ²¹	tɕʰɛ²¹	tɕʰɛ²¹		tɕʰɛ²¹	tʰi̤²¹	tʂʰa²¹	tʂʰə²¹	tʂʰɛ²¹	tʂʰɛ˞²¹	tʰi²¹								tsʰa²¹	tʂʰæ²¹ / tʂʰə²¹				tɕʰi⁵³	sɚ²¹	tʂʰɛ²¹	si²¹	si²¹	sɛ˞²¹	xɯ²¹	ngo¹³	ɕi̱²¹		sɛ²¹	tsʰɛ²¹	tʂʰɪ²¹	tsʰɛ²¹	tʰi²¹		tshE²¹		sɪ²¹			ʑy³³	sɪ²¹	sɪ⁴²			tʰe²¹	ʦʰʌ²²	ɕi³³	tʂʰɨ̠²³	ʦʰɛ³³	tjɛ³³	ʨʰi³³		ta̠³¹	tʂi⁵⁵
carry, mid pole	担	573						like carry on back	py² / pjy²				pa⁴²	pa⁵³	ba̱⁵³			piɔ²¹				py²¹	tʂʰɛ˞²¹	pɨ²¹	py²¹	py²¹	pi²¹	pɨ²¹	pʉ²¹	va³⁵pə²¹	pə²¹	py²¹	pu⁵⁵	py²¹	py²¹	py²¹	py²¹	ta⁴⁵³	py²¹	py²¹								pe⁵⁵	pe⁵⁵																															vɛ²²		pɑ̠²³	vi⁵⁵	ta¹³	vɛ³³		ta̠³¹	
fall	跌 (跌倒)	574		692.2					ʔly²				ka⁵⁵ɬɯ³¹	tʰɔ⁴⁴sɿ⁵³	thɔ³¹sɿ⁵⁵	lu³³kɔ³³	pᴀ³¹tɔ⁵⁴	tɛ̠³³				ly²¹	ly²¹		ly²¹	ly²¹	da²¹	lɨ³³	ly²¹	pə³³	bɛ³³	ly³³		dɛ²¹ly³³	ʔly³³	ʔly³³		ly²¹	ly²¹	ly²¹	le⁵⁵ʒe³³							wua³³pu⁵⁵pɯ²¹	o⁵⁵bɨ²¹pɛ³³													dzo⁵⁵bu³³							lɯ²²			vɑ⁵⁵dzi²¹														to³¹lɤ³³	pʰu³³	
lean (against)	靠 (人靠在树上)	575	*s-new²/³/ekL	694			*ŋ̊haA		e̠H				ta³⁵	lo³³ta⁴⁴	da⁵⁵	khɔ⁵⁵	ŋɛ³³	kɯ³³xɯ⁵⁵				da²¹					tei³³		ta²¹	ɛ̠⁵³	ɛ̃³³	ɛ̃³³		ɛ⁵⁵tɕɛ²¹		ɛ³³		tɛ³³			ku⁴⁴							kʰɔ³³mɔ³³tɔ⁵⁵(借汉方言? )	ŋæ³³ / ŋa³³																				khᴀ⁵⁵			hi³³														kɛ³³khao³⁵	xiŋ⁵⁵	
spend night	过夜	576	*C-yakL	724		ʔ-rakᶫ			he̠ᶫ	L	6	*C-l						tiɔ⁵⁵ɕa̠⁴²				xai³³	χai⁵³	xai⁵³	hiɛ̠²¹	hɛ˞̃²¹	xei⁴²	hi²¹	kɔ̠²¹	ta̠ʔ²¹tɛʲ³³, xi̠²¹a³³	xɛ̠²¹	hɛ̠²¹	hiŋ⁵⁵	hɛ̠²¹	hɛ̠²¹	hæ̠²¹	hɛ̃⁵³	hɛ̃⁴⁵³	hɛ⁴⁵	hɛ̠²¹								kɔ²¹tʂʰɔ²¹ʑi²¹	tʰi²¹bɛ²⁴ko²¹ / tʰi²¹bɛ²⁴jɛ²¹																															ʑi²²xɛ³³mʉ²¹		tʰi³³xɑ̠²³ɬɛ³¹	m̩³³ʦʰi⁵⁵kwɔ³¹	a³³ʑa¹³	---			
rest	休息	577			*na¹	na²	*n̥hahB		na²				a⁵⁵na³³na³¹	a⁴⁴na³¹ na⁵³	ɣa³¹na³¹na³¹	ɣɔ³¹nɔ³¹nɔ³¹	ɣᴀ⁵³tsɛ⁵³	ke²¹ɕa⁵⁵				no²¹	na²¹	ɕa⁵⁵la²¹	nɑ²¹	na²¹	ɕa⁵⁵	nɔ²¹	nɔ²¹	no²¹go³³	no²¹		no²¹	nɑ²¹	na̤²¹	na̤²¹	nɐ²¹	na²¹	no²¹	nɑ²¹	nɑ³¹, ha³¹							nɔ²¹tɔ²¹	o²¹gɨ²⁴no²¹		dam³³sa³⁵	nɔ²¹, niɑŋ⁴⁴						ɕɔ³³				ɕa³³						nu³³tu³³	no³³	tʰi²¹bᴀ⁵⁵no³³		ɕɿ³⁴nɯ³³	nɯ³³				ɣo²¹no⁵⁵	no²¹lo⁵⁵		nɔ̠⁴⁵kɔ³³		u³¹qɨ̠²³	na¹³	a⁵⁵ʑa³³m̩⁵⁵ʦə³³	na⁵⁵ka³³	la²⁴ka³³	wo⁵⁵	
sleep	睡觉	578	*yipL	735	*jipL	yipL/yupL ~ ʔ-yipL	*ʒhuăpD		ʒi̠ᶫda(ŋ)²	L	7	*l	jv̩⁴²	jv̩⁵³	ju̠³¹	ʒv̠³¹	zɿ²¹	zɿ⁴²tɔ⁴²	zɿ̠²¹	ʐi̱²¹	ʐi̱²¹	ʐʅ³⁴to³³	ʐʅ⁵³da⁵³	zɿ⁵⁵ta⁵⁵			zɿ⁴²tu⁴²		zɿ²¹tɔ̠²¹		ʝiʔ²¹		i²¹tɛ⁴⁴	i̠̠²¹da²¹				ʐʅ⁴⁵³du²¹, du²¹	ʐʅ⁴⁵da²¹		e³¹tɑ⁵⁵					ʝi̠²¹	ʑi̠²¹	ʑi̠²¹tɔ²¹	ji²¹do²¹	zi³³bɯ⁵⁵	ʑi̠³⁵	bo⁵³	ʑi⁵³	ʑi̱⁵⁵	ʑi̱²¹	ʑi̱⁵⁵	ʑi̱⁵⁵	ji̠⁵⁵	ʑe¹³	ʑi¹³	ʑi̱²¹	ʑi¹³	ʑi²	ʑi̱²¹	ʑi̱²¹	ʑi̱²¹	ʑi̱⁵⁵	ʑɪ⁵⁵	zɿ̠²¹	ʑi̠²¹to³³	i̱⁵⁵	i⁵⁵	i⁵⁵, i⁵⁵ȵi³³ku³³	i̱⁵⁵	i̱⁵⁵	i̱²⁵	ʑi̠²¹	ʑi̠²¹	ʑi²	ʑi̠⁴⁵	ʐi̱⁵⁵	ⁿʨɑ̠³¹	ʐi⁵⁵ta³³	ʑi²¹	ʑa⁵⁵	kɛ³³zɿ⁵³	zo²¹	ʑi̱²¹
put to sleep	使睡	579	*səyipL	773					xi̠ᶫ				pi³¹jv̩⁵⁵	pi²¹jv̩⁴⁴				ta³³zɿ⁴²tɔ⁴²				ʐʅ³³to³³tu³³	ʐʅ⁵³da⁵³tu³³	gɨ²¹zɿ⁵³	n̩²¹da²¹to³³	ɦə²⁴sɿ̠²¹	gei²¹zɿ⁴²tu⁴²	vɨ²⁴sɿ²¹		xiɛ⁵⁵tai⁵³	ɕiʔ²¹	ɛ̠²¹dɑ²¹to̠³³	i²¹tɛ⁴⁴to³³	y̠²¹sɿ̠²¹	ʔɲɛ̠²¹da̠²¹to³³	y²¹ʂʅ̠²¹	kʰao⁴⁴to⁴⁴	du²¹tu⁴⁴	da²¹tu³³	æ̠̃²¹dɑ²¹to̠³³								ɕa²¹ʂʅ⁵⁵	ji²¹do²¹tu⁵⁵																																						zo²¹vi²¹	
